% Tunnel Log: 
% Recall Log Version 2.0 debug seed: 1446064669
%
% SegEncNW { '0'=no panel, '1'=empty panel, '2'=player, '3'=match, '4'=nonmatch, '5'=obstacle, '6'=time warp }
% SegEncN
% SegEncNE
% SegEncE
% SegEncSE
% SegEncS
% SegEncSW
% SegEncW
% Event Number { 0, inf }
% Level Number { 0, inf }
% Task Type { 0=Recess, 1=Color/Sound, 2=Shape/Sound, 3=Sound, 4=AllFeatures }
% N-Back { 0, inf }
% Player Roll Base { 0, 359 }
% Player Roll Offset { 0, 359 }
% Player Roll Speed { -inf, inf }
% Player Fuel Timer { -inf, inf }
% Player Fuel Buffer { -inf, inf }
% Player Loc { 0=Northwest ... 7=West }
% Pod Loc { -1=N/A, 0=Northwest ... 7=West }
% Pod Color { -1=N/A, 0-3, 4=holdout, 5/6=special }
% Pod Shape { -1=N/A, 0-3, 4=holdout }
% Pod Sound { -1=N/A, 0-3, 4=holdout }
% Pod Match { -1=N/A, 0=No, 1=Yes }
% Pod Taken { -1=N/A, 0=No, 1=Yes }
% Pod Zapped { -1=N/A, 0=No, 1=Yes }
% Timestamp (ms)
% Num Obstacles { 0, inf }
% Level Ended { 0, 1 }
% Min Speed { 0, inf }
% Max Speed { 0, inf }
% Base Speed { 0, inf }
% Final Speed { 0, inf }
% Segment Direction { 0=Northwest ... 7=West }
% Segment Angle { 0, inf }
% Segment Panels { 0, inf }
%
% SegEncNW SecEncN SegEncNE SegEncE SegEncSE SegEncS SegEncSW SegEncW EventNumber LevelNumber TaskType N-Back PlayerRollBase PlayerRollOffset PlayerRollSpeed PlayerFuelTimer PlayerFuelBuffer PlayerLoc PodLoc PodColor PodShape PodSound PodMatch PodTaken PodZapped Timestamp NumObs LevelEnded MinSpeed MaxSpeed BaseSpeed FinalSpeed SegmentDir SegmentAngle SegmentPanels
0 0 0 0 1 2 1 0 0 0 0 0 359 0 0 29.7333 0 5 -1 -1 -1 -1 -1 -1 -1 25933 0 0 10 40 40 60 0 3 3
0 0 0 0 1 2 1 0 0 0 0 0 359 0 2 29.2889 0 5 -1 -1 -1 -1 -1 -1 -1 26099 0 0 10 40 40 51.5556 0 3 3
0 0 0 0 1 2 1 0 0 0 0 0 359 0 0 28.6667 0 5 -1 -1 -1 -1 -1 -1 -1 26333 0 0 10 40 40 40 0 3 3
0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 27.9556 0 5 -1 -1 -1 -1 -1 -1 -1 26599 0 0 10 40 40 40 0 3 3
0 0 0 0 1 2 1 0 0 0 0 0 1 0 6 27.3334 0 5 -1 -1 -1 -1 -1 -1 -1 26833 0 0 10 40 40 40 5 1 3
0 0 0 0 1 2 1 0 0 0 0 0 3 0 2 26.6222 0 5 -1 -1 -1 -1 -1 -1 -1 27099 0 0 10 40 40 40 5 1 3
0 0 0 0 1 2 1 0 0 0 0 0 3 0 0 26 0 5 -1 -1 -1 -1 -1 -1 -1 27333 0 0 10 40 40 40 5 1 3
0 0 0 0 1 2 1 0 0 0 0 0 3 0 1 25.2889 0 5 -1 -1 -1 -1 -1 -1 -1 27599 0 0 10 40 40 40 5 1 3
0 0 0 0 1 2 1 0 0 0 0 0 3 0 2 24.6667 0 5 -1 -1 -1 -1 -1 -1 -1 27833 0 0 10 40 40 40 7 1 3
0 0 0 0 1 2 1 0 0 0 0 0 336 4 10 23.9556 0 5 -1 -1 -1 -1 -1 -1 -1 28099 0 0 10 40 40 40 7 1 3
0 0 0 0 3 1 1 0 0 0 0 0 315 5 196 23.3334 0 4 4 6 5 5 1 1 0 28333 0 0 10 40 40 40 7 1 3
0 0 0 0 2 1 1 0 0 0 0 0 315 3 90 25.2893 0 4 -1 -1 -1 -1 -1 -1 -1 28599 0 0 10 40 40 40 7 1 3
0 0 0 0 2 1 1 0 0 0 0 0 315 1 58 24.6671 0 4 -1 -1 -1 -1 -1 -1 -1 28833 0 0 10 40 40 40 0 0 3
0 0 0 0 2 1 1 0 0 0 0 0 316 0 11 23.956 0 4 -1 -1 -1 -1 -1 -1 -1 29099 0 0 10 40 40 40 0 0 3
0 0 0 0 3 1 1 0 0 0 0 0 315 0 9 23.3337 0 4 4 6 5 5 1 1 0 29333 0 0 10 40 40 40 0 0 3
0 0 0 0 2 1 1 0 0 0 0 0 315 0 8 25.2896 0 4 -1 -1 -1 -1 -1 -1 -1 29599 0 0 10 40 40 40 0 0 3
0 0 0 0 2 1 1 0 0 0 0 0 327 -3 99 24.6674 0 4 -1 -1 -1 -1 -1 -1 -1 29833 0 0 10 40 40 40 8 0 3
0 0 0 0 2 1 1 0 0 0 0 0 333 -2 70 23.9563 0 4 -1 -1 -1 -1 -1 -1 -1 30099 0 0 10 40 40 40 0 3 3
0 0 0 0 1 3 1 0 0 0 0 0 347 -1 39 23.3341 0 5 5 6 5 5 1 1 0 30333 0 0 10 40 40 40 0 3 3
0 0 0 0 1 2 1 0 0 0 0 0 355 -1 32 25.29 0 5 -1 -1 -1 -1 -1 -1 -1 30599 0 0 10 40 40 40 0 3 3
0 0 0 0 1 2 1 0 0 0 0 0 350 2 112 24.6678 0 5 -1 -1 -1 -1 -1 -1 -1 30833 0 0 10 40 40 40 0 3 3
0 0 0 0 1 2 1 0 0 0 0 0 349 0 86 23.9567 0 5 -1 -1 -1 -1 -1 -1 -1 31099 0 0 10 40 40 40 5 1 3
0 0 0 0 3 1 1 0 0 0 0 0 331 2 76 23.3345 0 4 4 6 5 5 1 0 0 31333 0 0 10 40 40 40 5 1 3
0 0 0 0 2 1 1 0 0 0 0 0 318 0 5 22.6233 0 4 -1 -1 -1 -1 -1 -1 -1 31599 0 0 10 40 40 40 5 1 3
0 0 0 0 2 1 1 0 0 0 0 0 330 -3 128 22.0011 0 4 -1 -1 -1 -1 -1 -1 -1 31833 0 0 10 40 40 40 5 1 3
0 0 0 0 2 1 1 0 0 0 0 0 332 0 55 21.29 0 4 -1 -1 -1 -1 -1 -1 -1 32099 0 0 10 40 40 40 7 1 3
0 0 0 0 1 3 1 0 0 0 0 0 356 -2 87 20.6678 0 5 5 6 5 5 1 1 0 32333 0 0 10 40 40 40 7 1 3
0 0 0 0 1 2 1 0 0 0 0 0 13 -2 89 22.6237 0 5 -1 -1 -1 -1 -1 -1 -1 32599 0 0 10 40 40 40 7 1 3
0 0 0 0 1 2 1 0 0 0 0 0 5 1 33 22.0015 0 5 -1 -1 -1 -1 -1 -1 -1 32833 0 0 10 40 40 40 7 1 3
0 0 0 0 1 2 1 0 0 0 0 0 7 0 24 21.2904 0 5 -1 -1 -1 -1 -1 -1 -1 33099 0 0 10 40 40 40 0 0 3
0 0 0 0 1 3 1 0 0 0 0 0 6 0 31 20.6682 0 5 5 6 5 5 1 1 0 33333 0 0 10 40 40 40 0 0 3
0 0 0 0 1 2 1 0 0 0 0 0 12 0 14 22.6241 0 5 -1 -1 -1 -1 -1 -1 -1 33599 0 0 10 40 40 40 0 0 3
